Code;Description;Transaction Category Code;MCC Category
"0000";Not Populated — Internal Transaction;All Other Merchants/Post Exchange;Other
"0742";Veterinary Services;All Other Merchants/Post Exchange;Business/Professional/Miscellaneous Services
"0763";Agricultural Cooperatives;All Other Merchants/Post Exchange;Business/Professional/Miscellaneous Services
"0780";Landscaping and Horticultural Services;All Other Merchants/Post Exchange;Business/Professional/Miscellaneous Services
"1520";General Contractor/Residential Building;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1711";Heating, Plumbing, Air Conditioning Contractors;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1731";Electrical Contractors;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1740";Masonry, Stonework, Tile Setting, Plastering, Insulation Contractors;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1750";Carpentry;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1761";Roof, Siding, and Sheet Metal Work Contractors;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1771";Contractors, Concrete;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"1799";Special Trade Contractor — Not Elsewhere Classified;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"2741";Miscellaneous Publishing and Printing Services;All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"2791";Typesetting, Plate Making and Related Services (Business to Business MCC);All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"2842";Specialty Cleaning, Polishing and Sanitation Preparations (Business to Business MCC);All Other Merchants/Post Exchange;Furnishings/Appliances/Maintenance/Home
"3000";United Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3001";American Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3002";Pan American;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3003";Eurofly Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3004";Dragon Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3005";British Airways;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3006";Japan Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3007";Air France;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3008";Lufthansa;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3009";Air Canada;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3010";KLM;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3011";AeroFlot;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3012";Qantas;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3013";Alitalia;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3014";Saudi Arabian Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3015";Swiss International Airlines — SWISSINTLAIR;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3016";SAS;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3017";South African Airways;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3018";Varig (Brazil);Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3019";German Wings;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3020";Air India;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3021";Air Algerie;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3022";PAL AIR;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3023";Mexicana;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3024";Pakistan International;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3025";Air New Zealand Ltd.;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3026";Emirates Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3027";UTA/InterAir;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3028";Air Malta;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3029";SN Brussels Airlines — SN BRUSSELS;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3030";Aerolineas Argentinas;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3031";Olympic Airways;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3032";El Al;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
"3033";Ansett Airlines;Airline/Railroad/Travel Agency/Transportation;Airlines, Air Carriers
